id	time	property	value1	value2
Part.32	306.92	place	enter	B2_1
Part.37	306.92	place	exit	M1_1
Part.37	306.92	place	enter	B1_1
Part.38	306.92	place	enter	M1_1
Part.26	315.8477	place	exit	B4_1
Part.26	315.8477	place	enter	M5_1
Part.28	316.92	place	exit	M4_1
Part.28	316.92	place	enter	B4_1
Part.29	316.92	place	enter	M4_1
Part.29	316.92	place	exit	B2_1
Component.29	316.92	place	exit	M2_1
Component.41	316.92	place	enter	M2_1
Part.33	316.92	place	exit	B1_1
Part.33	316.92	place	enter	B2_1
Part.38	316.92	place	exit	M1_1
Part.38	316.92	place	enter	B1_1
Part.39	316.92	place	enter	M1_1
Part.17	319.7872	place	exit	M5_1
Part.29	326.92	place	exit	M4_1
Part.29	326.92	place	enter	B4_1
Part.30	326.92	place	enter	M4_1
Part.30	326.92	place	exit	B2_1
Component.30	326.92	place	exit	M2_1
Component.42	326.92	place	enter	M2_1
Part.34	326.92	place	exit	B1_1
Part.34	326.92	place	enter	B2_1
Part.39	326.92	place	exit	M1_1
Part.39	326.92	place	enter	B1_1
Part.40	326.92	place	enter	M1_1
Part.18	332.7872	place	exit	M5_1
Part.30	336.92	place	exit	M4_1
Part.30	336.92	place	enter	B4_1
Part.31	336.92	place	enter	M4_1
Part.31	336.92	place	exit	B2_1
Component.31	336.92	place	exit	M2_1
Component.43	336.92	place	enter	M2_1
Part.35	336.92	place	exit	B1_1
Part.35	336.92	place	enter	B2_1
Part.40	336.92	place	exit	M1_1
Part.40	336.92	place	enter	B1_1
Part.41	336.92	place	enter	M1_1
Part.31	346.92	place	exit	M4_1
Part.31	346.92	place	enter	B4_1
Part.32	346.92	place	enter	M4_1
Part.32	346.92	place	exit	B2_1
Component.32	346.92	place	exit	M2_1
Component.44	346.92	place	enter	M2_1
Part.36	346.92	place	exit	B1_1
Part.36	346.92	place	enter	B2_1
Part.41	346.92	place	exit	M1_1
Part.41	346.92	place	enter	B1_1
Part.42	346.92	place	enter	M1_1
Part.27	347.4309	place	exit	B4_1
Part.27	347.4309	place	enter	M5_1
Part.32	356.92	place	exit	M4_1
Part.32	356.92	place	enter	B4_1
Part.33	356.92	place	enter	M4_1
Part.33	356.92	place	exit	B2_1
Component.33	356.92	place	exit	M2_1
Component.45	356.92	place	enter	M2_1
Part.37	356.92	place	exit	B1_1
Part.37	356.92	place	enter	B2_1
Part.42	356.92	place	exit	M1_1
Part.42	356.92	place	enter	B1_1
Part.43	356.92	place	enter	M1_1
Part.28	359.4309	place	exit	B4_1
Part.28	359.4309	place	enter	M5_1
Part.19	360.4309	place	exit	M5_1
Part.33	366.92	place	exit	M4_1
Part.33	366.92	place	enter	B4_1
Part.34	366.92	place	enter	M4_1
Part.34	366.92	place	exit	B2_1
Component.34	366.92	place	exit	M2_1
Component.46	366.92	place	enter	M2_1
Part.38	366.92	place	exit	B1_1
Part.38	366.92	place	enter	B2_1
Part.43	366.92	place	exit	M1_1
Part.43	366.92	place	enter	B1_1
Part.44	366.92	place	enter	M1_1
Part.29	371.4309	place	exit	B4_1
Part.29	371.4309	place	enter	M5_1
Part.20	373.4309	place	exit	M5_1
Part.34	376.92	place	exit	M4_1
Part.34	376.92	place	enter	B4_1
Part.35	376.92	place	enter	M4_1
Part.35	376.92	place	exit	B2_1
Component.35	376.92	place	exit	M2_1
Component.47	376.92	place	enter	M2_1
Part.39	376.92	place	exit	B1_1
Part.39	376.92	place	enter	B2_1
Part.44	376.92	place	exit	M1_1
Part.44	376.92	place	enter	B1_1
Part.45	376.92	place	enter	M1_1
Part.30	383.4309	place	exit	B4_1
Part.30	383.4309	place	enter	M5_1
Part.21	386.4309	place	exit	M5_1
Part.35	386.92	place	exit	M4_1
Part.35	386.92	place	enter	B4_1
Part.36	386.92	place	enter	M4_1
Part.36	386.92	place	exit	B2_1
Component.36	386.92	place	exit	M2_1
Component.48	386.92	place	enter	M2_1
Part.40	386.92	place	exit	B1_1
Part.40	386.92	place	enter	B2_1
Part.45	386.92	place	exit	M1_1
Part.45	386.92	place	enter	B1_1
Part.46	386.92	place	enter	M1_1
Part.31	395.4309	place	exit	B4_1
Part.31	395.4309	place	enter	M5_1
Part.36	396.92	place	exit	M4_1
Part.36	396.92	place	enter	B4_1
Part.37	396.92	place	enter	M4_1
Part.37	396.92	place	exit	B2_1
Component.37	396.92	place	exit	M2_1
Component.49	396.92	place	enter	M2_1
Part.41	396.92	place	exit	B1_1
Part.41	396.92	place	enter	B2_1
Part.46	396.92	place	exit	M1_1
Part.46	396.92	place	enter	B1_1
Part.47	396.92	place	enter	M1_1
Part.22	399.4309	place	exit	M5_1
Part.37	406.92	place	exit	M4_1
Part.37	406.92	place	enter	B4_1
Part.38	406.92	place	enter	M4_1
Part.38	406.92	place	exit	B2_1
Component.38	406.92	place	exit	M2_1
Component.50	406.92	place	enter	M2_1
Part.42	406.92	place	exit	B1_1
Part.42	406.92	place	enter	B2_1
Part.47	406.92	place	exit	M1_1
Part.47	406.92	place	enter	B1_1
Part.48	406.92	place	enter	M1_1
Part.32	407.4309	place	exit	B4_1
Part.32	407.4309	place	enter	M5_1
Part.23	412.4309	place	exit	M5_1
Part.38	416.92	place	exit	M4_1
Part.38	416.92	place	enter	B4_1
Part.39	416.92	place	enter	M4_1
Part.39	416.92	place	exit	B2_1
Component.39	416.92	place	exit	M2_1
Component.51	416.92	place	enter	M2_1
Part.43	416.92	place	exit	B1_1
Part.43	416.92	place	enter	B2_1
Part.48	416.92	place	exit	M1_1
Part.48	416.92	place	enter	B1_1
Part.49	416.92	place	enter	M1_1
Part.33	419.4309	place	exit	B4_1
Part.33	419.4309	place	enter	M5_1
Part.24	425.4309	place	exit	M5_1
Part.39	426.92	place	exit	M4_1
Part.39	426.92	place	enter	B4_1
Part.40	426.92	place	enter	M4_1
Part.40	426.92	place	exit	B2_1
Component.40	426.92	place	exit	M2_1
Component.52	426.92	place	enter	M2_1
Part.44	426.92	place	exit	B1_1
Part.44	426.92	place	enter	B2_1
Part.49	426.92	place	exit	M1_1
Part.49	426.92	place	enter	B1_1
Part.50	426.92	place	enter	M1_1
Part.34	431.4309	place	exit	B4_1
Part.34	431.4309	place	enter	M5_1
Part.40	436.92	place	exit	M4_1
Part.40	436.92	place	enter	B4_1
Part.41	436.92	place	enter	M4_1
Part.41	436.92	place	exit	B2_1
Component.41	436.92	place	exit	M2_1
Component.53	436.92	place	enter	M2_1
Part.45	436.92	place	exit	B1_1
Part.45	436.92	place	enter	B2_1
Part.50	436.92	place	exit	M1_1
Part.50	436.92	place	enter	B1_1
Part.51	436.92	place	enter	M1_1
Part.25	438.4309	place	exit	M5_1
Part.35	443.4309	place	exit	B4_1
Part.35	443.4309	place	enter	M5_1
Part.41	446.92	place	exit	M4_1
Part.41	446.92	place	enter	B4_1
Part.42	446.92	place	enter	M4_1
Part.42	446.92	place	exit	B2_1
Component.42	446.92	place	exit	M2_1
Component.54	446.92	place	enter	M2_1
Part.46	446.92	place	exit	B1_1
Part.46	446.92	place	enter	B2_1
Part.51	446.92	place	exit	M1_1
Part.51	446.92	place	enter	B1_1
Part.52	446.92	place	enter	M1_1
Part.26	451.4309	place	exit	M5_1
Part.36	455.4309	place	exit	B4_1
Part.36	455.4309	place	enter	M5_1
Part.42	456.92	place	exit	M4_1
Part.42	456.92	place	enter	B4_1
Part.43	456.92	place	enter	M4_1
Part.43	456.92	place	exit	B2_1
Component.43	456.92	place	exit	M2_1
Component.55	456.92	place	enter	M2_1
Part.47	456.92	place	exit	B1_1
Part.47	456.92	place	enter	B2_1
Part.52	456.92	place	exit	M1_1
Part.52	456.92	place	enter	B1_1
Part.53	456.92	place	enter	M1_1
Part.27	464.4309	place	exit	M5_1
Part.43	466.92	place	exit	M4_1
Part.43	466.92	place	enter	B4_1
Part.44	466.92	place	enter	M4_1
Part.44	466.92	place	exit	B2_1
Component.44	466.92	place	exit	M2_1
